 you leave the water,1000_and
 you ride it up the hill,1031_and
 the brakes engages,1031_and_neg
 the brakes engages,1032_and
 the brakes engages,1032_and_neg
 the brakes engages,1033_and
 you do not service the car,1033_and_neg
 personX eats the food,1034_and
 you do not go to the bathroom to break your no,1034_and_neg
 you freeze the liquid in the container,1035_and
 you do not freeze the liquid in the container,1035_and_neg
 you do not freeze the liquid in the container,1036_and
 you do not freeze the liquid in the container,1036_and_neg
 the heat decreases,1037_and
 you do not decrease the heat,1037_and_neg
 electricity to the water and the resistors are in series,1038_and
 the electric current does not increase,1038_and_neg
 the electric current through the resistor increases,1039_and
 the electric current does not increase,1039_and_neg
 increase the heat,1040_and
 you do not decrease the heat,1040_and_neg
 add a new lake to the water,1041_and
 you do not evaporate the lake's water,1041_and_neg
 evaporate the lake,1042_and
 the lake does not evaporate,1042_and_neg
 you add oil to the aqueous solution,1043_and
 you do not add an oil to the honey,1043_and_neg
 dilute the water with the honey,1044_and
 add water to the honey,1044_and_neg
 your appetite will increase,1045_and
 you do not have an appetite,1045_and_neg
 you go for a run,1046_and
 you do not go to the appetite,1046_and_neg
 you give the milk to a child,1047_and
 you do not give the milk to the child,1047_and_neg
 you drink the coffee,1048_and
 you do not drink the coffee,1048_and_neg
 you drink the coffee,1049_and
 you do not drink the coffee,1049_and_neg
 the flashlight is turned on,1050_and
 no flashlight is used to see in the dark,1050_and_neg
 the galaxies fade away,1051_and
 no galaxies are formed,1051_and_neg
 you fade the galaxies,1052_and
 you do not fade the galaxies,1052_and_neg
 you become personX,1053_and
 you do not become personX,1053_and_neg
 he does not take his heart beat,1054_and
 he does not take his heart beat,1054_and_neg
 take the heart beat,1055_and
 take the heart beat,1055_and_neg
 personX becomes more sensitive to the light,1056_and
 personX does not become a no,1056_and_neg
 the blood pressure will increase,1057_and
 no blood is lost,1057_and_neg
 the air is set on fire,1058_and
 the air is not heated,1058_and_neg
 add water to the salt,1059_and
 add water to the salt,1059_and_neg
 fire the gun with a bullet,1060_and
 you do not set the air on fire,1060_and_neg
 someone pushes you from behind,1061_and
 no one pushes you from behind,1061_and_neg
 the ice be allows to drop,1062_and
 you do not drop the ice,1062_and_neg
 you drop the ice,1063_and
 you do not drop the ice,1063_and_neg
 personX increases the fire by putting more wood on the fire,1064_and
 personX does not put the fire in the more wood,1064_and_neg
 fire the more wood,1065_and
 you do not put the fire in the more wood,1065_and_neg
 add water to the salt,1066_and
 you do not add water to the solution,1066_and_neg
 personX gets enough sleep,1067_and
 you do not get enough sleep,1067_and_neg
 do not do the leg press,1068_and
 do not do the leg press,1068_and_neg
 the water be makes into steam,1069_and
 the water be makes into steam,1069_and_neg
 the building's floors are added on,1070_and
 no building is added to the floor,1070_and_neg
 personX pushes the mountain,1071_and
 the mountain is not pushed,1071_and_neg
 the water be makes into steam,1072_and
 no water is added to the tree,1072_and_neg
 add water to the solution,1073_and
 you do not add water to the solution,1073_and_neg
 water is added to the substance,1074_and
 water is not added to the fat,1074_and_neg
 the capacitor is not,1075_and
 no capacitor is added,1075_and_neg
 use the battery to power the device,1076_and
 does not power the use of the battery,1076_and_neg
 the frequency is increased,1077_and
 the frequency is not increased,1077_and_neg
 power the device with the battery,1078_and
 you do not power the device with the battery,1078_and_neg
 the frequency is increased,1079_and
 does not pass the current through the inductor,1079_and_neg
 you add a capacitor to the circuit,1080_and
 you do not add a capacitor to the circuit,1080_and_neg
 add water to the ocean,1081_and
 you do not add water to the ocean,1081_and_neg
 you compress the silver,1082_and
 the silver is not compressed,1082_and_neg
 apply the voltage of solar panels to the battery,1083_and
 you do not apply the voltage to the battery,1083_and_neg
 increase the room's height,1084_and
 you do not increase the room's height,1084_and_neg
 you release the clutch,1085_and
 you do not release the clutch,1085_and_neg
 you decrease the weight of the bike,1086_and
 does not decrease the weight of the bike,1086_and_neg
 add more cars to the roller coaster,1087_and
 you do not add any more cars to the roller coaster,1087_and_neg
 the bike's weight decreases,1088_and
 the brakes engages,1088_and_neg
 add more cars to the roller coaster,1089_and
 does not add more cars to the roller coaster,1089_and_neg
 you release the car from the brakes,1090_and
 you do not release the car's brakes,1090_and_neg
 the personX does not burn the calories,1091_and
 you do not burn the calories,1091_and_neg
 personX takes on a new project,1092_and
 personX does not take on new projects,1092_and_neg
 add more calories to the burn,1093_and
 you do not burn the metabolism,1093_and_neg
 water is added to the salt,1094_and
 water is not added to the salt,1094_and_neg
 water is added to the salt,1095_and
 you do not add water or salt to the water,1095_and_neg
 the electricity is turned on,1096_and
 the electricity is not reduced,1096_and_neg
 you heat the more collisions,1097_and
 you do not heat the more collisions,1097_and_neg
 increase the lake's water level,1098_and
 no increase in the lake's water level is observed,1098_and_neg
 water is added to the pool,1099_and
 no water is added to the pool,1099_and_neg
